Number;H;Depth;Rock;Color;ТЕКСТУРА;Включения органогенные;Включения минеральные;НЕФТЕНАСЫЩЕНИЕ;ПОДОШВА СЛОЯ
1;0.42;1019.69;Песчаники крупнозернистые;буро-\бежевые;Массивная;;Нефть;Умеренное;не охарактеризована керном
2;1.8;1017.89;Глины;\темно-серые;Горизонтальная параллельная;Углистый детрит;;;неровная
3;0.1;1017.79;Песчаники крупнозернистые;серо-\бежевые;Массивная\Горизонтальная параллельная;;Нефть;Незначительное;неровная
4;0.62;1017.17;Глины;\темно-серые;Горизонтальная параллельная\Горизонтальная волнистая;Углистые остатки;;;неровная
5;0.92;1016.25;Песчаники крупнозернистые;\бежевые;Массивная;;;;неровная
6;0.84;1015.41;Глины;\темно-серые;Горизонтальная параллельная;Углистый детрит;;;неровная
7;0.31;1015.1;Угли;\чёрные;Горизонтальная параллельная;;;;ровная
8;0.81;1014.29;Глины;\темно-серые;Горизонтальная параллельная;Углистые остатки;;;ровная
9;0.94;1013.35;Песчаники крупнозернистые;серо-\бежевые;Массивная;;;;неровная
10;0.2;1013.15;Известняки песчанистые;белесо-\бежевые;Массивная;;;;ровная
11;0.45;1012.7;Песчаники крупнозернистые;\бежевые;Массивная;;Нефть;Умеренное;ровная
12;1.1;1011.6;Глины;\темно-серые;Горизонтальная параллельная;Углистые остатки;;;неровная
13;0.6;1011;Песчаники крупнозернистые;\серые;Массивная;Углистый детрит;;;неровная
